,Id,MSZoning,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,Heating,HeatingQC,CentralAir,Electrical,KitchenQual,Functional,GarageType,GarageFinish,GarageQual,GarageCond,PavedDrive,SaleType,SaleCondition
10,11,!Rl,...PAvE!,!REG,:Lvl...,allpub:,:Inside!,:gtl.,:Sawyer,!NoRm;,;NOrM,1fam:,1STORY,.Hip ,?compshg,Hdboard	,HDBOARD>,?NoNE,Ta?,!Ta,>cblock,:TA!,TA<,No	,ReC>,UnF.,Gasa<,EX,;Y...,>sbrkr,:ta,TYP...,detchd>,unf!,?TA;,<TA;,y;,!WD?,>NORMAL
11,12,	Rl,;pave	,>ir1<,...lvl,ALLPUB.,!INSIDE,:GTL>,NRidGHt	,Norm;,.Norm,1FAM;,...2STORY!,;Hip...,<COMPSHG,!wdshing...,wd shng,STONE:,...EX<,<TA,	pconc<,;EX,...TA,!No,	GLQ,UNF...,gasa?,ex ,Y>,;sbrkr?,ex ,Typ<,BUILTIN?,!FIN,TA,;ta,;Y,...NEw,!Partial
12,13,Rl>,!Pave:,ir2...,LVL ,!AlLPub,Inside;,	Gtl, Sawyer,>norm,NOrm ,1FAM	,:1story,!Hip, compshg...,hdboard<,;PLYWOOD, none;,<TA,TA ,;CBLOCK;,Ta?,...Ta ,!NO,	ALQ<,?UNF,gasa., TA...,Y?,.Sbrkr,TA	,.Typ?,...detchd ,	unf, TA?,TA,!Y,wd!,>NORMAL
13,14,...Rl?,pave!,!Ir1.,;LvL:,	ALlPUB;,?InsIDE,...Gtl,COLLGCR	,NoRM>,;NORM,:1fam,.1story,!GABLE:,>COMPSHG;,Vinylsd,ViNYLSD,<StoNe,gd:, ta,>PCONC	,;GD>,ta	,;AV:,<Unf,.unf;,GASA<,.EX,<Y,Sbrkr,?Gd...,TYp<,ATTCHD:,RFN.,!TA,<Ta>,;Y,;New, PARtIal!
14,15,Rl...,?PAve;,:IR1:, LVL ,.AllPuB,	CORNER,gtl<,	NAmeS:,	norm:,.NORM,;1fam,1story	,Hip;,>COMPSHG!,.METALSD ,.Metalsd;,...BRKFACE,ta ,Ta,!Cblock,Ta<,	Ta ,.no,	BLQ,.UNF,...GASA>,ta>,:Y,!SBRKr>,ta;,<TYP., attchd,:RFn>,TA.,:ta, Y,<wd?,NORMAL?
15,16,RM ,Pave...,<REG,Lvl>,<Allpub:,...Corner;,:GTL,:BrKSIdE,:NORM,?NORM;,1fam<,;1.5unf,!GabLe<,:Compshg!,Wd SdNg>,Wd sdng;,NONE;,ta ,TA;,BRKTIL?,.ta!,...TA,<no,?UNF,<UNF,>gasa:,	ex...,!Y:,?FUSEA>,Ta	,...TYP ,Detchd	,Unf!,ta<,>ta!,>Y?,!Wd>,>Normal
16,17,<rl	,Pave...,	IR1>,;Lvl,.AlLPUB,culdsac!,?Gtl,<NAMES!,NORM;,...NORM<,1fam!,1story;,:GablE!,COMPSHG;,:WD SDNG,?wd sdng,<BRKFACE,:TA ,TA:,;cblock,TA;,:ta<,NO.,ALQ ,Unf;,?Gasa:,Ex<,.Y!,SBRKR,;ta,>TYP	,	Attchd ,>FIN,ta<,<Ta.,...y,wd,!NORMAL
17,19,...rl,pave.,	Reg,:lvl,!ALLPub,Inside;,GTl,...SAWyeRW,Rrae;,NOrM!,1FaM>, 1STORY ,;GABLE,COMpSHg;,	ViNYlSd,;VInYLSd<,none?,	TA, TA,<pconc ,TA.,.ta ,.no,:GLQ,!UNf,;Gasa,ex.,?y;,:SBRKR<,<Gd?,.Typ,<Detchd,Unf>,?TA>,TA!,.y ,WD?,normal.
18,20,;Rl,pave..., Reg,?Lvl,<allpub,INSIDe...,Gtl!,NAMeS,	Norm,;Norm>,...1FAM,1StorY:,	HIP,...COMPSHG<,Brkface,PLYWOOD!,NONE,TA,>ta.,CBloCK,...TA,<ta;,...NO!,;lwq:,unf!,?gasa,>Ta?,.y.,:Sbrkr<,;TA,?Min1,!attchd,Unf>,...TA!,.ta,?Y...,...COD,abnorml?
19,21,RL?,!pave;,;IR1,LVL..., allpub,>CORNER,:Gtl,!Nridght,NORM>,.Norm,:1FAM,2STOrY;,gable.,Compshg.,vinylsd:,:vinylsd ,.BRKFACE<,gd<, ta...,Pconc,EX.,<Ta,<Av ,.unf,unf.,gasa...,?Ex,Y,SBRKR:,;gd,Typ...,?BUILTIN,RFn?,;Ta,Ta,.y,	new,;PARtiAL
20,22,RM,:Pave,REG	,BNk?,Allpub.,<Inside,gtl<,IDOTRR	,norm<,NoRM,1fam, 1.5UNF<,	gable,CoMpShG ,Wd sdng,Wd sdng ,...NONE,ta;,...TA	,...PCONC	,;TA!,>TA,...No,!unf	,...unf.,:Gasa?,ex	,:Y;,>fusef,...Gd,;TyP?, ATTChD.,UNF	,TA<,!TA	,N	,Wd	,...NORMAL...
21,23,;rl, Pave!,	Reg,<Lvl,>Allpub?,;InsIDe;,gtl.,COllgCr.,!norm	,;Norm,1fam<,...1STORY.,:Hip,COMPSHG?,...VINYLSD,Vinylsd;,BRKFACE...,Gd.,.Ta,PCONC,?gd,ta?,	NO,:Unf,:unf,gasa;,EX;,Y ,!SBrkr!,Gd<,>Typ:,Attchd?,Rfn<,TA,TA!,!Y:,...WD?,	Normal 
22,24,Rm!,Pave?, reg;,Lvl...,	Allpub,!Inside;,!gtl,...MEADOWV,NORM...,NORm<,TWnHsE ,<1STORY;,.GAblE,.Compshg,;CEMNTBD...,!cmentbd,NONE,:ta,TA>,PCONc,GD?,?Ta,No,Glq?,UNF	,:Gasa,	Ta,Y<,;SBrKr,TA.,>Typ:,:attchd,UNf	,>TA,:TA<,;Y,!WD<,NormAL
23,25,?rl>,	pave, IR1,...LVL, Allpub...,.Inside,Gtl?,;SAWyer,NORM,NoRm<,	1fam.,:1story	,;gable,CompShg	,!PLYWOOD,.PLyWooD>,None!,>TA>,gd,...cblock.,Ta;,;TA...,Mn;,Rec<,alq:,GASA,Ex?,>Y,.SBRKR,...Gd:, TYP,!Attchd;,:Unf,;ta,	ta>,	Y,:wd,.Normal...
24,26,RL;,PAVe!,>Reg,LVl...,ALLPUB,?corner,gtl;,!NridGHT, Norm;,	Norm?,?1fam,1SToRY , Gable,Compshg...,<Vinylsd,...Vinylsd,stone,	Gd;,TA ,!PCONC;,Gd...,?TA,.no>,unf.,Unf?,?gasa,	Ex,y...,;SBRKR,Gd,<Typ?, Attchd,rfn	,...ta,!ta,y:,Wd ,	normal
25,27,rl!, PAve,	REg	,Lvl!,?ALLPUb,?CoRnER,gtl>,.Names:, Norm?,Norm>,;1Fam,?1STORY	,GABLE?,COMPSHG:,Wd sdng>, wd sdng	,None>,ta!,<ta<,?CBLoCk,TA;,ta?,MN<,Blq...,>REc,	gasa,<Ta,>Y,	sbrkr,>Gd, typ>,	Detchd.,UnF;,TA...,;TA<,	Y<,:WD;, NormAl
26,28,RL...,PAVE!,?REg,.LVl>,	ALLPub	,.Inside	,?gtl,NRidGHt<,	norm...,>NoRm ,?1fam,...1story,	GABLE:,Compshg ,:VInylSd,>Vinylsd	,?stone:,...gd ,TA?,	pconc, ex,...Ta...,.No>,.Glq<,unf,	Gasa,EX:,Y!,>SBRKR,?Gd,.typ,>ATTcHD:, RFN,Ta	,>Ta;,;Y?,Wd!,>NoRmAL
27,29,<Rl,pave ,IR1 ,LVL!,	ALLPUB,CULDSAC,GTL>,;NAMES...,NORm!,<NORM,?1FAM,:1story,...GABLE:,COMpShG,.MetaLSD,	Metalsd,none>,<Ta,Ta ,.CBLOCK.,:TA,:TA<,;Gd,BLQ...,UNF ,Gasa ,TA,<Y;,!SBRKR?,TA>,Typ.,:Attchd,:RFn.,;Ta,TA	,:Y,>WD.,NORMAL
28,30,RM,.PaVE,ir1...,:LVL,	AllPUb,.INSIDE,.Gtl,<BRKSIDE>,!Feedr,rrnn?,	1FAM:,;1story:, Gable,?compshg,Metalsd:,;metalsd?,NONE;,TA:,:ta,!brktil,TA:,Ta?,No>,...UNF,?unf:,gasa,FA<,N:,Sbrkr!,>fa.,<typ ,;detchd ,UNF	,FA;,Ta<,?Y,wd ,normal?
29,31,	C (ALL),pave.,.Reg,lvl<,.ALLPUB:,INSIDE!,?Gtl,...idotrr,FEEDR ,?NORM,:1fam	,:2story,;Gambrel,.Compshg	,brkface,BrkFaCE,:none;, Ta,!Fa ,	Brktil?,.Ta ,...Ta,.no,...UNF,Unf?,?GASA, Ta?,:n,SBRkR?,TA:,typ...,Detchd!,UnF,TA?, Fa,?N,?WD,.NORMAL
30,32,>RL,Pave,ir1,;lvl>,ALLPUB>,>culdsac!, GTL	,<SAWYEr<,.norm, NORM,1FAM!,<1STORY,gable,ComPSHg,>HDBOARD ,.HDBOARD!,	NOnE,.TA	,TA.,<CBLOCK.,TA ,<Ta<, no!,UNF,UNF.,GASA, Gd,;Y,Sbrkr ,...gd,:typ ,>Attchd,Unf:,>TA,TA...,Y?,Wd,	NORMAL
31,33,RL;,PaVE,<reg;,!Lvl?,AllPuB.,.CoRNeR.,<GTl,.Collgcr>,>norm;,Norm,!1FAm,?1story,.Gable, COmpSHG,Vinylsd;,>VINYLSD>,;none>,?GD?,Ta;,;Pconc!,EX.,TA	,AV!,!UNF,!Unf!,>GASA	,Ex;,?Y	,sbrkr.,gd>,;Typ.,;ATTChD.,;rfn,TA>,;ta,.Y;,:Wd, NOrMaL
32,34,!RL?,;PaVE ,	IR1...,Lvl;,AlLPUB;,...inside?,!GTL;,...names,>NORM;,Norm<,1FAM	,:1StOrY ,<HiP ,COMPSHG.,BRKFACE?,BRKFACE,...NONe.,TA	, ta,Cblock	,...ta,TA	,	No,...rec,UNf!,GaSA:,Gd;,Y;,:Sbrkr?,.gd,>TYP,ATtcHD.,;Rfn,;TA,:TA,...Y,.Wd:,;Normal
33,35,<rl,.PAVE?,<ReG,;lvl?,.AlLPub.,inside,Gtl...,...nridght,:NoRm...,:Norm<, TWNHSE.,.1StOrY,HIP<,COmpSHg...,;METALSd,Metalsd,Brkface?,Ex>,	TA,Pconc.,:ex,.TA;, no...,<Glq...,>unf,:gasa ,Ex ,;Y,:SBRKr?,!ex;,.Typ,;attchd,	Fin,;TA!,...Ta ,y;,WD,<normal
34,36,?rl?,...PAVE;,...Reg,<Lvl	,ALLPUB.,	Inside...,.GtL,NRIDGHT.,:Norm.,	NORM,.1FAM,!2STORY...,GABLE,COMpShg;,VINYLSD;,VINYLSD>,>STONE>,?gd,Ta!,PCONC...,Ex ,	ta>,AV?,Unf ,>unf	, GASA:,ex,.Y,:SBRKR.,!Gd,:TYP,...BUILtIN.,fin;,>TA.,Ta>,y;,;WD.,NoRMaL
35,37,>RL,;Pave,REG<, lvl,allpub...,;Corner,?GTL>,!COLLGCR:,norm>,Norm,<1fam	,1story!,>gable,>Compshg..., VINYLSD,VINYLSD?,NOnE!,!TA,Ta,PCONC:,<Gd!,TA:,!no	,Unf ,UnF,GasA	,!ex,Y,SBRKR!,TA.,typ...,?attchd.,unf<,...TA,!ta,?Y,WD,:Normal
36,38,:RL.,PAVE!,:REG,Lvl	,ALLPUB ,Inside:,Gtl>,Names.,.NOrm,NORM., 1FaM,	1story<,HIP!,COMPSHG,WD SDNG	,WD SDNG;,brkface ,>TA,>TA,.cblock,Ta!,...TA!,	NO:,rec<,Unf>,<GASA	,	gd,!y,	SBRKR,	Ta ,Typ ,	ATtChD,fin ,:TA>,ta:,?Y,WD...,NORmAl
37,39,rl ,Pave:,ReG;,Lvl;,ALLPUB	,?inside,Gtl	,Names.,NOrM:,Norm>,	1FAM.,	1StOry,gable,?COMPSHG!,;VinYLSD,Vinylsd<,None>,>TA	,:Gd...,<CBLOCK,...TA!, Ta,?no,:Glq,UNF;,<gasa>,	TA,Y.,	SBRkr,Gd>,<typ	,...DEtcHD,UnF...,TA ,TA<,Y	,.WD!,.abnorml
38,41,?RL.,pave...,REG?,?lvl,:Allpub<,...Inside,GTL.,	NAMES,<NORM,...Norm, 1fam>,1STORY<,;Gable,?Compshg:,WD SdNg.,?Wd sdng,Brkface...,:Ta,Ta,.Cblock<,.ta,	TA., No,	REC<,>unf, GAsA<,Ex	,y;,;SBRKR;,ta!,!TYp,Attchd ,...RFN,:TA,?TA.,;Y!,<wd,.ABnormL:
39,42,RL.,PAVE,?REG>,	Lvl!,>Allpub:,>Inside, Gtl,TimBER:,:NOrM!,.norm?,1fam,!1StOrY>,GABLE ,...CompShG,:vinylsd.,;vinylsd,...NONE:,;ta?,>gd,>CBlOCK,!TA.,	TA<,GD,.blq,?UnF...,>GASA,Gd,Y;,.sbrkr>,TA!,:TYP,AttchD...,>RFn ,Ta	,:Ta,p,WD?,>normal
40,43,>Rl...,;PAVE ,?IR1,...LVL...,:ALLPUB,>Culdsac, GTL,!SAWYERW,norm	, Norm>,<1fam...,?sfoyer ,GABLE;,.compshg,:HDBOARD,	HDBoaRD,>NoNe:,<Ta,!TA;,>CBLOCK,>GD.,.TA,<av,Alq<,LWQ., gasa,gd...,>y;,.SBrkr	,>GD!,>Typ, attchd,:RFN,:TA,.gd	,:Y!,?wd,NoRMaL
41,44,rl,pave?,IR1!,LVl;,ALLPUB..., Culdsac ,!Gtl,:collgcr,Norm ,	norm,:1FAM?,1story., HIP.,COMPSHG;,vinylsd<,VInylSd ,NOne,...ta,>TA,Cblock:,;GD?,<ta,AV?,LWQ<, Blq,gasa!,	TA,.Y...,:Sbrkr.,...TA,TyP	,;Detchd,Unf>,ta ,ta,:Y?,	wd,<Normal
42,45,:RL ,PAVE?,.reg<,!LVl,<allpub...,<Inside.,!Gtl ,;Names,>NORM,!norm,<1FAM,1story:,gable ,COMPSHG...,Brkface, Wd sdng,NOnE!,TA!,>ta,;CBloCk>,.Ta<,TA,No?,	Alq,!blq,.GASA,!ex,;Y!,fusea>,TA ,TYP:,>attchd, RFN, TA,<ta?,Y<,.wd,NORMAL>
43,46,...RL<,!Pave	,;Reg	,?Lvl , ALLPUB<,Inside>,	gtl	,nridght<,norm, Norm,Twnhse:,1STORY ,...HiP	,.CompShG...,:metalsd;,METALSD?,>Brkface,!ex,Ta!,<PCoNC,!EX<,!TA,.No,:GLQ,!Unf	,GASA	,ex;,	Y,:SBRKR,:ex,...Typ,attchd!,rfn?,	TA?,	TA,Y?,.WD?,NORMAL
44,47,!Rl,...pave?,IR1:, Lvl,Allpub	,culdsac<,GtL ,<MiTchEl>,Norm.,Norm<,1FAM	,?1.5fin,:Gable,>Compshg,Vinylsd:,	VInyLSd;,...none!, gd,	Ta.,Pconc	,EX ,	ta:,<No,<glq,!unf,...GaSA,Ex<,:Y,?SBRKR,...GD,TYP?,Attchd!,!RFN.,<TA>,<TA?,Y<,<WD ,Abnorml;
45,48,FV...,:Pave!,;REG;,lvl;,ALlPub;,Inside!,gtl<,SOMERST...,.norm,<Norm..., 1fam,1story.,Gable;,<COMPSHG;,VINYLSD<,...Vinylsd?,>NONE>,?gd,?Ta,PCONC ,.Gd,	ta,<av,:Glq?,?UNF!,	GaSA:,Ex ,	Y,?SBRKR,Gd>,TYP,...attchd,RFN?, TA,:TA<,Y	,wd!,NoRMal?
46,50,?Rl,	PAVE,<REG,Lvl,;allpub?,	Inside...,<gtl,.SAWYER,norm	,norm,!1fam,?1story,>GABLE,!COmpSHg	,HDBoARD!,?hdboard,...None>,...TA,:TA.,Cblock!,TA?,TA>,No!,blq	,unf<,GAsA!,Ex.,>Y:,Sbrkr;,.Ta ,	TYp,...ATTCHD,<UNF,Ta>,>Ta,?Y!,wd...,:normal
47,51,!rl,;PAVE ,Ir2 ,:LvL:, Allpub,<CORNER,Gtl?,	Gilbert , Norm,NORM,.1FAM,2StOrY<,...GAbLE?,	COMPSHG,:Vinylsd:,VInYlSd:,None;,?ta,TA.,PCONc,Gd,TA...,:AV	,<GLQ,UNF	,.gasa	,>GD,<Y,SBrkR,>TA;,Typ>,?ATTCHD,fin!,TA;,?TA,...Y...,Wd>,!normal
48,52,!Rm,...pave,...REG.,LVL,ALlPuB...,	INSIDE ,:gtl,<brkside ,NORM<,<norm	, 1FAM ,:1.5FIN	,GabLe, COMPSHG,WD SDNG ,?wd sdng?,...NoNE?,	ta...,TA!,...PCOnc ,>Ta...,TA...,.no,unf,<UNF,!GASA ,;ta,<Y,SBRKR...,<TA;,?TYP	,detchd.,UNF ,>ta...,;TA...,.Y!,?wd, Normal?
49,53,?RM,GRVL!,<Ir2, Bnk>,AllPUb;,:corner	,mod;,idotrr:,RRNn.,;NORM,duplex>,>1STORY ,GABLE!,Compshg:,:WD SdnG!,;WD SDNg	,>none,...Fa,TA;,cblock<, gd,;TA	,?Gd,;LWQ , GLQ,GASA>,.TA,	n,...SBRKR,...TA	,Typ, CArPorT:,:UNF:,;Ta,;Ta...,>Y,;WD,NORMAL.
50,54,...RL,	pave,?IR1 ,:low,?AllPuB!,inside.,;GtL,<VEenKer,:norm;,>NORM,;1FAM,1STORY	,.GABLE?,>WDSHNGL ,.WDShING ,Wd ShnG>,...None,GD.,Ta>, Cblock:,EX;,.TA,<Gd,<GLQ,.Unf,.gasa	,>GD, y,SBRKR...,?GD:,;Typ,attchd<,fin<,	TA?,:Ta!,<Y;, WD;,<NORMAL.
51,55,;RL,<Pave,REG:,!bnk,:Allpub!,;inside>,;mod!,?NAMES,<NOrM:,norm<,>1Fam,!SLVL,GABLE	,compshg<,	METALSD,Metalsd ,;None,?ta	,ta?,Cblock?,TA!,TA;,<No<,alq:,;Unf:,Gasa,...TA;,!y,;Sbrkr,.ta,	Min1,DEtChd ,!UNF>,...ta,<TA,Y!,<WD,NORMAL
52,56,...RL<,>pave	,IR1?,LVL>, Allpub,:INSIDE:,GTL,NAmeS<,Norm?,NORM ,1FAM ,...1story?,<gable,COMPSHG>,HDBOARD;,...PlyWooD,:brkface,	ta,.Ta,Cblock<,TA<,!TA,>No,.BLQ,!UNf...,	gasa,>gd ,.Y.,	SBRKR,ta!,;typ,!AttchD<,	RFn,ta;,TA, Y>,wd...,>normal.
53,57,>Fv,<Pave?,ReG...,LVl<,;allpub,!inside;,?gtl,?somerst,NORM	,:Norm ,twnhs>, 2story?,GaBLE:,:COMPSHG, METALSD.,METAlSd...,>brkface,gd ,	TA, pconc...,GD,<ta;,.NO, GLQ,UNf...,Gasa!,;EX,Y,!Sbrkr	,Gd.,Typ>,Attchd:,>Fin:,	Ta ,:TA,<Y,!WD!,?ABNOrml
54,58,<rl>,Pave!,?IR1>,Lvl	, Allpub,CORner,	Gtl;,>collgcr>,Norm!,Norm ,1fam>,2story ,GABLE:,:CoMPShg<,vinylsd, VINYLSD,None>,	GD.,Ta:, pconc,Gd?,Ta...,:no,Unf ,!unf,Gasa>,ex...,.y,...Sbrkr,gd?,TYP!,attchd	,:Rfn	,.TA>,?ta,:Y,;wd?,!NORMAL
55,59,>RL,!pave...,>IR2,HLS	,?Allpub, culdsac,	gtl!,stonebr,<NorM,	Norm!,1fam:,2STORY...,	HIP,!COMPSHG,VINYLSD;,:Vinylsd;,brkface,	EX:,!TA,Pconc ,!EX,TA>,;gd>,Unf<,.unf:, Gasa!,ex<,>Y,SBrkr;,?GD,TYP	,:builtin<,.Fin:,:Ta...,:TA,?Y...,NEW.,.partial.
56,60,RL?,>PAVE,REG:,Bnk>,Allpub	,:InsIDE	,?gtl;,	CollGCR<,norm?,NORM	,1fam.,.1story,>GabLE,COMPSHG.,...Hdboard , Hdboard,	NONE,ta,TA;,CBLOCK>,ta?,.Ta,>Av	,...Alq<,	Unf>,?GAsA ,Ex.,.Y	,...SBRKR...,Ta:, typ	,Detchd ,;Unf,Ta:,?TA..., Y:, WD!,NOrMAL...
57,61,:rl;,>Pave,.reg,:LVL<,.ALLPUB;,.InsIde,Gtl.,?SAWYERW!, RRAE,NORM...,<1fam,.1story, Gable,?Compshg,Vinylsd,VINYLSD:,none	,TA:, TA ,...Pconc ,Gd..., TA,No,ALQ!,Unf, Gasa,ex,.y,Sbrkr:,!Gd<,<TyP, Detchd?, Unf,;Ta,!ta!,y<,?NEW>,!partial
58,62,.RM;,Pave ,reg?,.lvl,?Allpub, inside>,>GTL!,	IDOTRR,...Norm,norm>,1fam,2.5unf;,...gable,!compshg...,>Metalsd,;Metalsd.,<NoNE,.TA,	TA,brktil...,!ta,	FA,No!, unf,!UNf	,...GASA,...TA,N<, SBRKR...,	Fa,typ;, DetCHd	,!UNF	,	ta,<TA,N?,WD!,NORMAL;
59,63,RL	,pave ,!IR1,?lvl!,Allpub...,?inside..., GTL?,...NriDGHt...,Norm ,...norm,;TwnhsE,1story	,!Gable;, COMPSHG,...vinylsd,!Vinylsd,stone<,;gd>,Ta ,...Pconc<,Gd?,gd	,MN<,>GLQ,UNF	,GasA!,EX , y,SBRKr>,	gd,TYP ,Attchd,RFn!,ta,ta,...Y:,?wd	,:Normal
60,64,rm,<PAve.,Ir1;,Bnk,allpub ,Inside ,;Gtl ,.oldtown,RRAn;,>FEEDR,	1fam,...2story,>gable!,.CompShg,StuCco..., stucco,None ,...ta<,...TA.,BRKTIL, ta!,Ta,!No,unf, Unf,Gasa,GD	,Y.,Sbrkr<,;Ta,?Typ,DETCHD<,UNf!,?ta,?TA,Y,WD;,Normal	
61,65,...Rl,pave?,REG;, Lvl,<AlLPuB:, Inside,?GTL	,.collgcr<,norm	,norm.,!1FAM;,2story.,	GABLE	,?COMPSHG,.vinylsd<,Vinylsd>,...BRKFACE,:ta,...Ta,;PCONC,GD:,Ta;,No:,?GLQ...,:Unf.,GASA?,?ex,:y<,?SBrkr:,;gd,?TyP:,?attchd:,>RFn, ta,ta.,;Y>,WD;,>Normal
62,66,:rl, Pave?,;REg ,?Lvl,	Allpub,?INSIDe.,.Gtl.,nridght	,Norm,NorM,1FAm?,2story,!GABlE,...compshg, Vinylsd	,>VINYLSD!,>BrkFaCe,Gd, Ta,...pconc ,...ex:,TA<,AV?,...UNF,unf ,Gasa<,.ex,<Y:,;sbrkr,;GD,!TYP,BUILtIn?,RFN?,Ta<,TA	,	y,>wd,>Normal
63,67,.RL,.Pave,!REG,!LvL,allpub,INSIDE;,.GtL;,;NAMES,Posa>,NoRm>,:1fam,1story:,GABLE	,;CompSHg>, PLYWOOD ,...plywood!,!Brkface	,<TA?,.TA,CBlOcK;,:gd;,?Ta,GD<,GLQ;,>unf<,<GASA,	TA,!y,sbrkr>,:TA,Min1;,;attchd,RFN:,ta;,TA!,.Y;,?Wd	,?normal
64,68,RL ,	PavE,:IR1;,...Lvl ,ALLPUB,Inside?,>Gtl ,:collgcr;,.Norm!,:Norm,1FAM,1STOry...,;GABLE,!COMPSHG>,Vinylsd:,	Vinylsd,brkface:,?Gd, ta,?pconc,gd ,	Ta...,	AV<,glq:,	UNF,GasA.,.EX	,Y?,SBRKR;,:gd.,>TYP,:attchd, RFN,<Ta:,?TA	,	y,wd>,normal<
